case_id,reported_at,missing_person_name,gender,age_band,state,district,language,last_seen_location,reporting_center,reporter_mobile,physical_description,status,resolution_hours,is_duplicate_report,remarks
KMP-2027-00001,2027-07-28 06:01,Savita Desai,Female,41-60,Bihar,Nalanda,Maithili,Trimbakeshwar Approach,Trimbakeshwar Kho-Ya-Paya Kendra,+91 6734036506,"Man in saffron kurta, has rudraksha mala",Reunited,3.3,False,GGTalk app used
KMP-2027-00002,2027-07-14 15:06,Prakash Nair,Male,71-80,Gujarat,Anand,Telugu,Trimbakeshwar Approach,Adgaon Kho-Ya-Paya,+91 8266944844,"Woman in green saree, has tilak on forehead",Reunited,3.7,False,Announcement made on PA
KMP-2027-00003,2027-08-12 12:49,,Female,41-60,Delhi,Delhi District 2,Marathi,Takli Sangam,Bharat Bharati Control Room,+91 6149203558,"Man in saffron kurta, has rudraksha mala",Reunited,2.4,False,
KMP-2027-00004,2027-07-30 17:17,Mohan Rao,Male,80+,Madhya Pradesh,Jabalpur,Telugu,Panchavati Circle,Trimbakeshwar Kho-Ya-Paya Kendra,+91 7275452091,Lost near ghats,Reunited,6.0,False,
KMP-2027-00005,2027-08-11 19:09,,Female,80+,Kerala,Kerala District 3,Maithili,Madsangvi Transit,Ramkund Kho-Ya-Paya Kendra,+91 9524806516,"Man in saffron kurta, has rudraksha mala",Reunited,5.5,False,Family waiting at center
KMP-2027-00006,2027-08-10 10:50,Sohan Kumar,Male,13-17,Maharashtra,Solapur,Bengali,Gauri Patangan,Nashik Road Center,,"Child in red shirt, about 8-10 years, crying",Reunited,22.2,False,GGTalk app used
KMP-2027-00007,2027-07-19 18:10,Savita Rao,Female,61-70,Assam,Assam District 2,Tamil,Dasak Ghat,Central Control Room,+91 8219778234,Child missing,Unresolved,,False,GGTalk app used
KMP-2027-00008,2027-07-24 20:01,Vimla Reddy,Female,61-70,Delhi,Delhi District 1,Bhojpuri,Sadhugram Gate 1,Panchavati Center,,"Old man confused, keeps asking for Ramkund",Reunited,8.4,False,
KMP-2027-00009,2027-08-03 18:13,Kamla Gupta,Female,61-70,Rajasthan,Jodhpur,Tamil,Panchavati Circle,Trimbakeshwar Kho-Ya-Paya Kendra,+91 7384602384,Old woman,Reunited,4.5,False,GGTalk app used
KMP-2027-00010,2027-08-10 06:14,,Male,0-12,Assam,Assam District 1,Marathi,Trimbakeshwar Approach,Central Control Room,+91 6176228245,"Child girl, pigtails, pink frock, about 6 years",Reunited,1.3,False,GGTalk app used
